Full Planning Wedding Day,,,,,,,,
,,,,,,,,
Task Type,Task Name,Parent Name,Priority,Assigned To ,Package ,Pipeline Phase ,Task Category ,Time Anchor 
Task,ONBOARDING,,NORMAL,Planner,Full Planning & Design,Onboarding,Reminder,54 Weeks Out
Task,Enter venue contacts & due dates in ClickUp custom fields,ONBOARDING,,,,,,
Task,Create Canva Doc,ONBOARDING,,,,,,54 Weeks Out
Task,Create Email Folder,ONBOARDING,,,,,,54 Weeks Out
Task,Create Laptop Folder,ONBOARDING,,,,,,54 Weeks Out
Task,Create Budget Tracker,ONBOARDING,,,,,,54 Weeks Out
Task,Choose ceremony time and duration,ONBOARDING,,,,,,
Task,Couple Tasks - 12+ Months Out,,,,,,,54 Weeks Out
Task,Define Budget,Couple Tasks - 12+ Months Out,,,,,,54 Weeks Out
Task,Start Wedding Website,Couple Tasks - 12+ Months Out,,,,,,54 Weeks Out
Task,Preliminary Guest List,Couple Tasks - 12+ Months Out,,,,,,54 Weeks Out
Task,Visit Venues,Couple Tasks - 12+ Months Out,,,,,,54 Weeks Out
Task,Set Wedding Date,Couple Tasks - 12+ Months Out,,,,,,54 Weeks Out
Task,Review Google Budget Sheet,Couple Tasks - 12+ Months Out,,,,,,54 Weeks Out
Task,Research Venue,,HIGH,,,Planning,Research,54 Weeks Out
Task,Compile initial venue wish-list from couple's questionnaire,Research Venue,NORMAL,,,,,53 Weeks Out
Task,"Cross-check guest count, budget, location constraints",Research Venue,,,,,,53 Weeks Out
Task,Pull pricing guides & availability for top venues,Research Venue,,,,,,53 Weeks Out
Task,Create side-by-side comparison sheet,Research Venue,,,,,,52 Weeks Out
Task,Schedule in-person site visits (hold tentative dates),Research Venue,,,,,,52 Weeks Out
Task,Conduct site visit & capture photos/video for client review,Research Venue,,,,,,53 Weeks Out
Task,Verify venues inclusive vs. exclusive vendor policies,Research Venue,,,,,,53 Weeks Out
Task,"Check noise ordinances, curfew, insurance requirements",Research Venue,,,,,,53 Weeks Out
Task,Couple Tasks - 12 Months Out,,,,,,,54 Weeks Out
Task,Schedule Dress Shopping Appointments,Couple Tasks - 12 Months Out,,,,,,54 Weeks Out
Task,Brainstorm Honeymoon Locations,Couple Tasks - 12 Months Out,,,,,,54 Weeks Out
Milestone,Book Venue,,URGENT,,,,,52 Weeks Out
Task,Present short-list & gather client feedback,Book Venue,,,,,,52 Weeks Out
Task,"Confirm package inclusions (tables, chairs, getting-ready suites, rain plan)",Book Venue,,,,,,52 Weeks Out
Task,Gather venue inventory list to avoid duplication when booking rentals,"Confirm package inclusions (tables, chairs, getting-ready suites, rain plan)",,,,,,
Task,Send contract to client for signature & deposit payment link,Book Venue,,,,,,51 Weeks Out
Task,Upload signed agreement to couple's folder,Book Venue,,,,,,50 Weeks Out
Task,Collect updated COI requirements & share with vendors,Book Venue,,,,,,52 Weeks Out
Task,Request certificate of additional insured for venue,Book Venue,,,,,,52 Weeks Out
Task,Add venue logistics to master timeline & layout doc,Book Venue,,,,,,51 Weeks Out
Task,Input venue information into Canva doc,,NORMAL,Planner,Full Planning & Design,Onboarding,Design,52 Weeks Out
Task,Put payment dates into calendar,,NORMAL,Planner,Full Planning & Design,Onboarding,Reminder,52 Weeks Out
Task,Move Pipeline stage PLANNING,,NORMAL,Planner,Full Planning & Design,Planning,Reminder,52 Weeks Out
Task,Research Photographer,,NORMAL,Planner,Full Planning & Design,Planning,Research,54 Weeks Out
